;name;salary;company;link
0;Senior Marketing Analyst;-;ООО Рокет Медиа;https://hh.ru/vacancy/51478254?query=data%20analyst
1;Junior data analyst;40000–60000руб.;Школа программирования Kodland;https://hh.ru/vacancy/52077233?query=data%20analyst
2;Data Scientist / Аналитик больших данных;100000–250000руб.;ООО Бейстрек Рус;https://hh.ru/vacancy/51952618?query=data%20analyst
3;Data Scientist (Middle);200000–330000руб.;Леруа Мерлен. Центральный офис;https://hh.ru/vacancy/51421868?query=data%20analyst
4;Младший аналитик / Data scientist;-;ЭКОПСИ Консалтинг;https://hh.ru/vacancy/51346006?query=data%20analyst
5;Data Analyst;100000–200000руб.;ANABAR;https://hh.ru/vacancy/51329904?query=data%20analyst
6;Data Analyst;от220000руб.;Novakid Inc;https://hh.ru/vacancy/51821934?query=data%20analyst
7;Стажёр (по анализу данных, data science);-;ООО САС Институт;https://hh.ru/vacancy/52042270?query=data%20analyst
8;Data Engineer;200000–300000руб.;Whalemap;https://hh.ru/vacancy/52007147?query=data%20analyst
9;Data Scientist;до300000руб.;Точка;https://hh.ru/vacancy/49423067?query=data%20analyst
10;Аналитик / Data Analyst;-;Red Panda Labs;https://hh.ru/vacancy/51987512?query=data%20analyst
11;Data analyst;180000–270000руб.;HR Prime;https://hh.ru/vacancy/51003578?query=data%20analyst
12;Аналитик Power BI;от250000руб.;ИП Ельмикеев Евгений Иванович;https://hh.ru/vacancy/50861374?query=data%20analyst
13;Инженер данных - аналитик/Junior Data Enginer /Analytic;100000–100000руб.;ООО Комета;https://hh.ru/vacancy/51286924?query=data%20analyst
14;Аналитик/Data Analyst in EdTech;от200000руб.;Novakid Inc;https://hh.ru/vacancy/49047894?query=data%20analyst
15;Data analyst (Аналитик данных);-;ООО Project First;https://hh.ru/vacancy/50767547?query=data%20analyst
16;Product Analyst;от250000руб.;FoodRocket;https://hh.ru/vacancy/51042194?query=data%20analyst
17;Data scientist / Product analyst;200000–250000руб.;Bip.ru;https://hh.ru/vacancy/48276976?query=data%20analyst
18;Data Scientist (middle or senior);до500000руб.;ООО РАБЛЗ;https://hh.ru/vacancy/51330363?query=data%20analyst
19;Web Data Analyst;от220000руб.;Novakid Inc;https://hh.ru/vacancy/51948024?query=data%20analyst
20;Аналитик-Data scientist;-;ИНВИТРО;https://hh.ru/vacancy/52062723?query=data%20analyst
21;Data Analyst;-;Сбер для экспертов;https://hh.ru/vacancy/52045917?query=data%20analyst
22;Аналитик в команду Careerum;80000–180000руб.;Careerum;https://hh.ru/vacancy/51775374?query=data%20analyst
23;Data analyst / Дата аналитик;до270000руб.;HR Prime;https://hh.ru/vacancy/51113216?query=data%20analyst
24;Аналитик данных;-;Билайн;https://hh.ru/vacancy/51627402?query=data%20analyst
25;"Интерн/Аналитик направления ""Applied Intelligence""";-;ООО Accenture;https://hh.ru/vacancy/52075642?query=data%20analyst
26;Data Engineer (Senior);350000–500000руб.;ООО РАБЛЗ;https://hh.ru/vacancy/51361166?query=data%20analyst
27;Аналитик (BI аналитик (Tableau);50000–150000руб.;АНАЛИТИКА ПЛЮС;https://hh.ru/vacancy/52070261?query=data%20analyst
28;Data Scientist;200000–350000руб.;ООО 24Н Софт;https://hh.ru/vacancy/50932609?query=data%20analyst
29;Аналитик данных / Data analyst;-;KONNEKTU;https://hh.ru/vacancy/51692334?query=data%20analyst
30;Product/Data Analyst (Junior);до1000USD;KIVORK;https://hh.ru/vacancy/51710405?query=data%20analyst
31;Data analyst (дата аналитик);-;Сбер для экспертов;https://hh.ru/vacancy/52084794?query=data%20analyst
32;Data Analyst / Data Scientist;-;ЗАО Национальное Бюро Информатизации;https://hh.ru/vacancy/51779542?query=data%20analyst
33;Senior / Lead Data Scientist (Recommender Systems);до450000руб.;Пикабу;https://hh.ru/vacancy/51256964?query=data%20analyst
34;BI аналитик / Специалист по анализу данных;-;Леруа Мерлен. Центральный офис;https://hh.ru/vacancy/52104767?query=data%20analyst
35;Product/ Data Analyst;-;Сбер для экспертов;https://hh.ru/vacancy/52040362?query=data%20analyst
36;Продуктовый аналитик (Game Analyst);120000–200000руб.;ООО Комплектэнерго;https://hh.ru/vacancy/47582523?query=data%20analyst
37;Data-аналитик (Data Engineer);-;Лига Ставок;https://hh.ru/vacancy/52025020?query=data%20analyst
38;Data Analyst;-;BP Mobile;https://hh.ru/vacancy/50276255?query=data%20analyst
39;Аналитик BI;-;Леруа Мерлен. Гипермаркеты;https://hh.ru/vacancy/51499946?query=data%20analyst
40;Data Analyst;до180000руб.;iiko, Компания Aйко;https://hh.ru/vacancy/50367949?query=data%20analyst
41;Supply Chain Specialist / Programming Analyst / Data Engineer / Аналитик Данных;136800–152000руб.;Udalenno;https://hh.ru/vacancy/51094604?query=data%20analyst
42;Data scientist / Data analyst;-;Bell Integrator;https://hh.ru/vacancy/51358571?query=data%20analyst
43;Аналитик данных;от150000руб.;Bip.ru;https://hh.ru/vacancy/48277000?query=data%20analyst
44;Junior Analyst (Pricing);-;Emerging Travel Group (Ostrovok.ru, B2B.Ostrovok, RateHawk, ZenHotels);https://hh.ru/vacancy/52089898?query=data%20analyst
45;Junior Data-аналитик / Аналитик данных / Data Analyst;-;Ужин Дома;https://hh.ru/vacancy/50410081?query=data%20analyst
46;Data Scientist;-;Утконос. И..И.. ОНЛАЙН;https://hh.ru/vacancy/50847937?query=data%20analyst
47;Game Analyst (Product Analyst);-;ТОО MadOut Games;https://hh.ru/vacancy/50344207?query=data%20analyst
48;Специалист по разметке данных (Data Analyst Perception);-;SberAutoTech;https://hh.ru/vacancy/51696569?query=data%20analyst
49;Data Analyst (Game);-;Nakusi Games;https://hh.ru/vacancy/50878100?query=data%20analyst
50;Data аналитик;-;ЛитРес;https://hh.ru/vacancy/52062913?query=data%20analyst
51;Data-analyst;-;Билайн;https://hh.ru/vacancy/51765086?query=data%20analyst
52;Data scientist;-;Аналитический центр при Правительстве Российской Федерации;https://hh.ru/vacancy/52076731?query=data%20analyst
53;Продуктовый аналитик (Product analyst);-;Лента, федеральная розничная сеть, IT;https://hh.ru/vacancy/51710551?query=data%20analyst
54;Data Scientist;-;COMTEK Inc.;https://hh.ru/vacancy/51955855?query=data%20analyst
55;Data Аналитик (ETL, витрины, дашборды);до350000руб.;EXE.CTLY;https://hh.ru/vacancy/51990353?query=data%20analyst
56;Аналитик BI;до170000руб.;Кадровое агентство Юнити;https://hh.ru/vacancy/52074173?query=data%20analyst
57;Аналитик BI (middle);-;ООО Диплей;https://hh.ru/vacancy/51855506?query=data%20analyst
58;Аналитик данных;-;ПАО МТС Банк. Головной офис;https://hh.ru/vacancy/52032619?query=data%20analyst
59;Junior Data analyst (Vietnam);100000–200000руб.;Finstar Financial Group;https://hh.ru/vacancy/51661793?query=data%20analyst
60;Data engineer в Data accelerator;-;Леруа Мерлен. Гипермаркеты;https://hh.ru/vacancy/51011570?query=data%20analyst
61;Data-analyst;-;Билайн;https://hh.ru/vacancy/51765086?query=data%20analyst
62;"Интерн/Аналитик направления ""Applied Intelligence""";-;ООО Accenture;https://hh.ru/vacancy/52075642?query=data%20analyst
63;Data Analyst;-;ПАО Европлан;https://hh.ru/vacancy/51847182?query=data%20analyst
64;Middle Data Scientist;1500–3000USD;App in the Air;https://hh.ru/vacancy/50490211?query=data%20analyst
65;Аналитик данных;-;ПАО МТС Банк. Головной офис;https://hh.ru/vacancy/52032619?query=data%20analyst
66;Data Analyst (Game);-;Nakusi Games;https://hh.ru/vacancy/50878100?query=data%20analyst
67;Data (бизнес) аналитик;-;Группа Самолет;https://hh.ru/vacancy/51699623?query=data%20analyst
68;Data analyst;-;РНКБ Банк (ПАО);https://hh.ru/vacancy/49315801?query=data%20analyst
69;Data Engineer/ETL Developer;до4000EUR;ООО Globus.ai;https://hh.ru/vacancy/49130051?query=data%20analyst
70;Data Analyst;-;BP Mobile;https://hh.ru/vacancy/50276255?query=data%20analyst
71;Middle/Senior Data Scientist;от200000руб.;JuicyScore;https://hh.ru/vacancy/50467275?query=data%20analyst
72;Data Analyst в Exam;-;Skyeng;https://hh.ru/vacancy/52034630?query=data%20analyst
73;Data analyst;-;inDriver;https://hh.ru/vacancy/50737051?query=data%20analyst
74;Junior Data analyst (Vietnam);100000–200000руб.;Finstar Financial Group;https://hh.ru/vacancy/51661793?query=data%20analyst
75;Data engineer (Big Data);-;ПАО «МТС», IT;https://hh.ru/vacancy/52099164?query=data%20analyst
76;Аналитик данных/ data engineer;-;Сбер для экспертов;https://hh.ru/vacancy/51345690?query=data%20analyst
77;Data engineer Junior;до40000руб.;Школа программирования Kodland;https://hh.ru/vacancy/52065572?query=data%20analyst
78;Data Engineer;от210000руб.;Метр Квадратный;https://hh.ru/vacancy/51195699?query=data%20analyst
79;Аналитик BI;-;EGAR TECHNOLOGY, INC.;https://hh.ru/vacancy/52078834?query=data%20analyst
80;Data scientist;-;Юрент;https://hh.ru/vacancy/52029419?query=data%20analyst
81;Data engineer в Data accelerator;-;Леруа Мерлен. Гипермаркеты;https://hh.ru/vacancy/51011570?query=data%20analyst
82;Senior Business Analyst;2500–6000USD;Top Remote Talent;https://hh.ru/vacancy/52114800?query=data%20analyst
83;Аналитик данных;-;Перекресток Впрок;https://hh.ru/vacancy/49937733?query=data%20analyst
84;Data Analyst Intern;-;NXP Semiconductors;https://hh.ru/vacancy/50423837?query=data%20analyst
85;Аналитик / Data Analyst;-;ЛИЦА;https://hh.ru/vacancy/52123297?query=data%20analyst
86;Data analyst;-;AWG;https://hh.ru/vacancy/52011099?query=data%20analyst
87;Marketing data analyst;от200000руб.;ManyChat;https://hh.ru/vacancy/50024105?query=data%20analyst
88;BI Analyst;-;Sanofi;https://hh.ru/vacancy/52066304?query=data%20analyst
89;Junior Product Manager/Data Analyst;-;ООО Gett;https://hh.ru/vacancy/51982020?query=data%20analyst
90;FP&A Analyst (Russia & CIS);от200000руб.;ASAP Solutions International Co, Ltd;https://hh.ru/vacancy/52125759?query=data%20analyst
91;Senior Data Analyst;-;VK;https://hh.ru/vacancy/50769892?query=data%20analyst
92;Business Analyst;до4000EUR;Lucky Hunter;https://hh.ru/vacancy/51998799?query=data%20analyst
93;Data scientist;-;Аналитический центр при Правительстве Российской Федерации;https://hh.ru/vacancy/52076731?query=data%20analyst
94;Data-аналитик (Data Engineer);-;Лига Ставок;https://hh.ru/vacancy/52025020?query=data%20analyst
95;Product Analyst;-;inDriver;https://hh.ru/vacancy/51012159?query=data%20analyst
96;Разработчик\Аналитик BI;от120000руб.;Калиничева Светлана Олеговна;https://hh.ru/vacancy/52108767?query=data%20analyst
97;Data Аналитик (ETL, витрины, дашборды);до350000руб.;EXE.CTLY;https://hh.ru/vacancy/51990353?query=data%20analyst
98;Стажёр отдела аналитики;-;Адвентум;https://hh.ru/vacancy/52008574?query=data%20analyst
99;Marketing analyst;2000–2500USD;EnglishDom;https://hh.ru/vacancy/51442081?query=data%20analyst
100;Data Science / Аналитик;от120000руб.;ООО Лидстех;https://hh.ru/vacancy/51994559?query=data%20analyst
101;Product analyst;-;Фаза Роста;https://hh.ru/vacancy/51485938?query=data%20analyst
102;Data Analyst в Edu Skysmart;-;Skyeng;https://hh.ru/vacancy/51505963?query=data%20analyst
103;Data Analyst;-;Finstar Financial Group;https://hh.ru/vacancy/50820143?query=data%20analyst
104;Аналитик SQL;-;Компания «СПОРТМАСТЕР», SM Lab;https://hh.ru/vacancy/49082741?query=data%20analyst
105;Data analyst / ML engineer (Аналитик данных);-;Social Quantum;https://hh.ru/vacancy/50705680?query=data%20analyst
106;Аналитик данных;-;ID Finance;https://hh.ru/vacancy/50232134?query=data%20analyst
107;Data analyst;-;WОRKKI;https://hh.ru/vacancy/49431392?query=data%20analyst
108;Market Data Analyst;-;Иннотех, Группа компаний;https://hh.ru/vacancy/50769490?query=data%20analyst
109;Системный аналитик/ Data scientist/ IT analyst;100000–120000руб.;ИП Юрецкая Лариса Александровна;https://hh.ru/vacancy/51656804?query=data%20analyst
110;Data analyst/data engineer;-;Домклик;https://hh.ru/vacancy/50880086?query=data%20analyst
111;Investment analyst/Инвестиционный аналитик;-;2B Global Capital S.à r.l. SPF;https://hh.ru/vacancy/52073302?query=data%20analyst
112;Data Analyst;150000–250000руб.;Marfatech;https://hh.ru/vacancy/51961773?query=data%20analyst
113;Аналитик данных / Data analyst;-;ГК «ВИЗАВИ Консалт»;https://hh.ru/vacancy/52045299?query=data%20analyst
114;Data Analyst;-;ООО РД Технологии;https://hh.ru/vacancy/51643311?query=data%20analyst
115;Data Analyst;-;Билайн;https://hh.ru/vacancy/51340011?query=data%20analyst
116;Data scientist;-;Сбер для экспертов;https://hh.ru/vacancy/49987349?query=data%20analyst
