;link;russian_name;original_name;country;film_type;rate
0;kinopoisk.ru/film/435/;Зеленая миля;Green Mile, The, 1999;США;драма, криминал;9.0
1;kinopoisk.ru/film/326/;Побег из Шоушенка;Shawshank Redemption, The, 1994;США;драма;8.9
2;kinopoisk.ru/film/3498/;Властелин колец: Возвращение короля;Lord of the Rings: The Return of the King, The, 2003;Новая Зеландия, США;фэнтези, приключения;8.9
3;kinopoisk.ru/film/312/;Властелин колец: Две крепости;Lord of the Rings: The Two Towers, The, 2002;Новая Зеландия, США;фэнтези, приключения;8.8
4;kinopoisk.ru/film/328/;Властелин колец: Братство Кольца;Lord of the Rings: The Fellowship of the Ring, The, 2001;Новая Зеландия, США;фэнтези, приключения;8.8
5;kinopoisk.ru/film/329/;Список Шиндлера;Schindler's List, 1993;США;драма, биография;8.8
6;kinopoisk.ru/film/448/;Форрест Гамп;Forrest Gump, 1994;США;драма, комедия;8.7
7;kinopoisk.ru/film/535341/;1+1;Intouchables, 2011;Франция;драма, комедия;8.7
8;kinopoisk.ru/film/2360/;Король Лев;Lion King, The, 1994;США;мультфильм, мюзикл;8.7
9;kinopoisk.ru/film/342/;Криминальное чтиво;Pulp Fiction, 1994;США;криминал, драма;8.7
10;kinopoisk.ru/film/258687/;Интерстеллар;Interstellar, 2014;Великобритания, Канада;фантастика, драма;8.7
11;kinopoisk.ru/film/42664/;Иван Васильевич меняет профессию;1973;СССР;комедия, фантастика;8.7
12;kinopoisk.ru/film/679486/;Тайна Коко;Coco, 2017;США, Мексика;мультфильм, фэнтези;8.6
13;kinopoisk.ru/film/447301/;Начало;Inception, 2010;США, Великобритания;фантастика, боевик;8.6
14;kinopoisk.ru/film/279102/;ВАЛЛ·И;WALL·E, 2008;США;мультфильм, фантастика;8.6
15;kinopoisk.ru/film/476/;Назад в будущее;Back to the Future, 1985;США;фантастика, комедия;8.6
16;kinopoisk.ru/film/522/;Карты, деньги, два ствола;Lock, Stock and Two Smoking Barrels, 1998;Великобритания;боевик, комедия;8.6
17;kinopoisk.ru/film/370/;Унесённые призраками;Sen to Chihiro no kamikakushi, 2001;Япония;аниме, мультфильм;8.6
18;kinopoisk.ru/film/301/;Матрица;Matrix, The, 1999;США, Австралия;фантастика, боевик;8.6
19;kinopoisk.ru/film/957887/;Клаус;Klaus, 2019;Испания, Великобритания;мультфильм, семейный;8.6
20;kinopoisk.ru/film/361/;Бойцовский клуб;Fight Club, 1999;США, Германия;триллер, драма;8.5
21;kinopoisk.ru/film/32898/;Достучаться до небес;Knockin' on Heaven's Door, 1997;Германия;драма, комедия;8.5
22;kinopoisk.ru/film/44386/;Джентльмены удачи;1971;СССР;комедия, драма;8.5
23;kinopoisk.ru/film/111543/;Темный рыцарь;Dark Knight, The, 2008;США, Великобритания;фантастика, боевик;8.5
24;kinopoisk.ru/film/46708/;Москва слезам не верит;1979;СССР;мелодрама, драма;8.5
25;kinopoisk.ru/film/77263/;Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей;1981;СССР;детектив, криминал;8.5
26;kinopoisk.ru/film/474/;Гладиатор;Gladiator, 2000;США, Великобритания;история, боевик;8.5
27;kinopoisk.ru/film/430/;Шрэк;Shrek, 2001;США, Япония;мультфильм, фэнтези;8.5
28;kinopoisk.ru/film/397667/;Остров проклятых;Shutter Island, 2009;США;триллер, детектив;8.5
29;kinopoisk.ru/film/4374/;Пираты Карибского моря: Проклятие Черной жемчужины;Pirates of the Caribbean: The Curse of the Black Pearl, 2003;США;фэнтези, боевик;8.5
30;kinopoisk.ru/film/526/;Большой куш;Snatch, 2000;Великобритания, США;криминал, комедия;8.5
31;kinopoisk.ru/film/43395/;...А зори здесь тихие;1972;СССР;драма, военный;8.5
32;kinopoisk.ru/film/25108/;В бой идут одни «старики»;1973;СССР;военный, драма;8.5
33;kinopoisk.ru/film/1143242/;Джентльмены;Gentlemen, The, 2019;Великобритания, США;криминал, комедия;8.5
34;kinopoisk.ru/film/42782/;Операция «Ы» и другие приключения Шурика;1965;СССР;комедия, мелодрама;8.5
35;kinopoisk.ru/film/324/;Поймай меня, если сможешь;Catch Me If You Can, 2002;США, Канада;криминал, биография;8.4
36;kinopoisk.ru/film/322/;Гарри Поттер и узник Азкабана;Harry Potter and the Prisoner of Azkaban, 2004;Великобритания, США;фэнтези, приключения;8.4
37;kinopoisk.ru/film/41519/;Брат;1997;Россия;драма, криминал;8.4
38;kinopoisk.ru/film/325/;Крестный отец;Godfather, The, 1972;США;драма, криминал;8.4
39;kinopoisk.ru/film/573759/;Остров сокровищ;1988;СССР;мультфильм, приключения;8.4
