;company;topic;link
0;Чемпионат;"Валиеву и золото вроде бы отстояли. Но нужны официальные подтверждения. 
Онлайн";https://www.championat.com/olympicwinter/article-4603603-doping-proba-rossii-v-figurnom-katanii-na-olimpijskih-igrah-2022-onlajn-vse-podrobnosti-poslednie-novosti.html
1;Чемпионат;Олимпиада-2022. Золото Чена и драматичный финиш Непряевой! LIVE;https://www.championat.com/olympicwinter/article-4604575-zimnyaya-olimpiada-2022-v-pekine-onlajn-translyaciya-sorevnovanij-10-fevralya-2022-rossiya-na-zimnih-olimpijskih-igrah.html
2;РБК Спорт;Специалисты раскрыли мошеннические схемы с трансляциями Олимпиады;https://sportrbc.ru/news/6204eb149a794760ab1f13d1
3;РБК Спорт;Хет-трик Маннинена принес финнам победу над Словакией на Олимпиаде;https://sportrbc.ru/news/6204ef659a7947620dff3e95
4;Спорт Mail.ru;"Российскую фигуристку Валиеву не отстранили от личных соревнований на 
Олимпиаде в Пекине";https://sportmail.ru/pekin/news/49982014/
5;Спорт-Экспресс;Олимпиада-2022: расписание соревнований и трансляций 10 февраля;https://www.sport-express.ru/olympics/beijing2022/news/olimpiada-2022-raspisanie-sorevnovaniy-i-translyaciy-10-fevralya-gde-smotret-pryamoy-efir-kto-vystupaet-u-rossii-v-pekine-figurnoe-katanie-lyzhi-konki-sani-medali-1889778/
6;Спорт24;"Фристайлисты бьются за золото Пекина, а мы ждем заявлений по допингу 
Валиевой: Олимпиада, Live";https://sport24.ru/live/figureskating/2022-02-10-olimpiada-smotret-onlayn-dopingovyy-skandal-valiyeva-trimetazidin-olimpiyskiye-igry-raspisaniye-figurnoye-kataniye-muzhskaya-proizvolnaya-programma-translyatsiya-smotrim-ru-fristayl-lyzhnyye-gonki-smotret-onlayn
7;Спорт-Экспресс;ISU опубликовал официальное заявление по командному турниру Олимпиады;https://www.sport-express.ru/olympics/beijing2022/figure-skating/news/isu-opublikoval-oficialnoe-zayavlenie-po-komandnomu-turniru-olimpiady-1889968/
8;Спорт-Экспресс;"Олимпиада-2022: Финляндия обыграла Словакию, Канада — Германия и другие 
матчи 10 февраля";https://www.sport-express.ru/olympics/beijing2022/hockey/news/olimpiada-2022-hokkey-finlyandiya-slovakiya-i-kanada-germaniya-i-drugie-matchi-10-fevralya-2022-goda-1889880/
9;Чемпионат;"Россия вымучила победу, Дания устроила сенсацию. Итоги первого дня ОИ-2022 
в хоккее";https://www.championat.com/hockey/article-4604639-hokkej-na-olimpiade-2022-videoobzory-matchej-turnirnaya-tablica-raspisanie-igr-na-10-fevralya.html
10;РБК Спорт;Дебютант Олимпиады обыграл одного из фаворитов хоккейного турнира;https://sportrbc.ru/news/620407569a79471871388d2f
11;Чемпионат;"Россия на Олимпиаде-2022. Битва за честь в фигурном катании. Где смотреть 
трансляцию?";https://www.championat.com/olympicwinter/article-4604623-olimpiada-2022-raspisanie-translyacij-na-10-fevralya-2022-po-kanalam-gde-smotret-olimpijskie-igry-v-pekine.html
12;Чемпионат;"Олимпиада-2022. 10 февраля. Главный финал дня — решение о судьбе Камилы 
Валиевой";https://www.championat.com/olympicwinter/article-4604609-zimnyaya-olimpiada-2022-v-pekine-raspisanie-sorevnovanij-na-10-fevralya-2022-lyzhnye-gonki-sannyj-sport-skeleton.html
13;Sports.ru;Олимпиада 2022, хоккей, мужчины, сегодня 10 февраля ...;https://www.sports.ru/hockey/1106385304-olimpiada-2022-shvecziya-protiv-latvii-kanada-igraet-s-germaniya-kitaj.html
14;Чемпионат;"Нереальный американец не заметил соперников на Олимпиаде. Чен оставил Ханю 
без медали!";https://www.championat.com/olympicwinter/article-4604897-figurnoe-katanie-na-olimpiade-2022-proizvolnaya-programma-muzhchin-chen-stal-olimpijskim-chempionom-semenenko-8-j.html
15;РБК Спорт;Валиева вернулась на лед после сообщений о допинге. Главное на Олимпиаде;https://sportrbc.ru/news/6204a92b9a79473f3b16131d
16;РБК Спорт;Роднина назвала причины неудачи российских фигуристов на Олимпиаде;https://sportrbc.ru/news/6204c5729a79474c3cda025f
17;РБК Спорт;Хоккей на Олимпиаде: важное о регламенте турнира и таблица результатов;https://sportrbc.ru/news/6203c4ff9a7947ff5da51975
18;Чемпионат;"Сборная России стартовала на Олимпиаде. Наши одолели швейцарцев в 
напряжённой игре!";https://www.championat.com/hockey/article-4603243-olimpiada-2022-v-pekine-rossiya-shvejcariya-9-fevralya-2022-onlajn-translyaciya-matcha.html
19;Чемпионат.com;"Может ли Россия экстренно заменить Валиеву на Олимпиаде-2022? Шансы есть, 
но мало";https://www.championat.com/olympicwinter/article-4604529-skandal-na-zimnej-olimpiade-2022-mozhet-li-rossiya-ekstrenno-zamenit-valievu-posle-otstraneniya.html
20;Чемпионат.com;"Российская шорт-трекистка заплакала во время эфира. Олимпиада даётся Софье 
очень тяжело";https://www.championat.com/olympicwinter/article-4604729-short-trek-na-zimnej-olimpiade-2022-rossijskaya-sportsmenka-sofya-prosvirnova-rasplakalas-vo-vremya-teleefira.html
21;Спорт-Экспресс;"«Просто позвольте Китаю забрать все медали». Мир в ужасе от судейства в 
шорт-треке на Олимпиаде";https://www.sport-express.ru/olympics/beijing2022/short-track/reviews/olimpiada-2022-short-trek-pochemu-kitayu-podsuzhivayut-v-pekine-skandaly-s-sudeystvom-i-diskvalifikaciyami-1889429/
22;Sports.ru;Олимпиада-2022, 10 февраля, все медали дня;https://www.sports.ru/skiing/1106388642-olimpiada-2022-10-fevralya-vse-medali-dnya.html
23;РБК Спорт;Российские керлингисты одержали первую победу на Олимпиаде;https://sportrbc.ru/news/6204cc809a7947503e7dd7a6
24;ТАСС;"Захарова заявила, что Олимпиада остается местом информационной борьбы, 
проводимой Западом";https://tass.ru/politika/13665387
25;Спорт-Экспресс;Олимпиада 2022 в Пекине: онлайн трансляция ...;https://www.sport-express.ru/olympics/beijing2022/online/olimpiada-2022-v-pekine-onlayn-translyaciya-sorevnovaniy-8-fevralya-vystuplenie-sbornoy-rossii-gde-smotret-figurnoe-katanie-lyzhi-biatlon-hokkey-skolko-segodnya-medaley-i-kakie-mesta-zimnie-olimpiyskie-igry-v-kitae-1888722/
26;РБК Спорт;Австриец Штрольц победил в горнолыжной комбинации на Олимпиаде;https://sportrbc.ru/news/6204bbcd9a794746ea76bd66
